index,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type,daynight,brightness,bright_t31,year,month,day,hour,minute,datetime,month_name,geometry
0,-10.1209,-44.5731,,1.3,1.1,2016-11-05,1651,Aqua,MODIS,100,6.2,,2213.7,0.0,D,498.5,337.3,2016,11,5,16,51,2016-11-05 16:51:00,Nov,POINT (-44.5731 -10.1209)
1,-10.1736,-44.6332,,3.7,1.8,2016-10-12,1602,Aqua,MODIS,72,6.2,,64.1,0.0,D,323.2,306.0,2016,10,12,16,2,2016-10-12 16:02:00,Oct,POINT (-44.6332 -10.1736)
2,-10.1136,-44.528999999999996,,1.1,1.0,2016-10-27,140,Terra,MODIS,78,6.2,,7.5,0.0,N,309.5,292.4,2016,10,27,1,40,2016-10-27 01:40:00,Oct,POINT (-44.529 -10.1136)
3,-10.1122,-44.5193,,1.1,1.0,2016-10-27,140,Terra,MODIS,63,6.2,,4.5,0.0,N,305.3,292.8,2016,10,27,1,40,2016-10-27 01:40:00,Oct,POINT (-44.5193 -10.1122)
4,-10.1271,-44.5319,,1.6,1.3,2016-10-27,1657,Aqua,MODIS,84,6.2,,57.4,0.0,D,341.0,307.4,2016,10,27,16,57,2016-10-27 16:57:00,Oct,POINT (-44.5319 -10.1271)
5,-10.1143,-44.5061,,3.6,1.8,2016-10-28,1602,Aqua,MODIS,22,6.2,,36.1,0.0,D,318.3,298.7,2016,10,28,16,2,2016-10-28 16:02:00,Oct,POINT (-44.5061 -10.1143)
6,-10.118,-44.5374,,3.6,1.8,2016-10-28,1602,Aqua,MODIS,50,6.2,,52.7,0.0,D,320.8,299.7,2016,10,28,16,2,2016-10-28 16:02:00,Oct,POINT (-44.5374 -10.118)
7,-10.1212,-44.5408,,1.1,1.0,2016-10-29,1645,Aqua,MODIS,91,6.2,,44.4,0.0,D,346.8,309.4,2016,10,29,16,45,2016-10-29 16:45:00,Oct,POINT (-44.5408 -10.1212)
8,-10.0868,-44.5181,,1.1,1.1,2016-11-02,1330,Terra,MODIS,57,6.2,,13.6,0.0,D,324.1,296.1,2016,11,2,13,30,2016-11-02 13:30:00,Nov,POINT (-44.5181 -10.0868)
9,-10.1275,-44.5181,,1.6,1.2,2016-11-02,1621,Aqua,MODIS,54,6.2,,27.1,0.0,D,326.0,303.4,2016,11,2,16,21,2016-11-02 16:21:00,Nov,POINT (-44.5181 -10.1275)
10,-10.1294,-44.532,,1.6,1.2,2016-11-02,1621,Aqua,MODIS,65,6.2,,33.0,0.0,D,328.1,299.3,2016,11,2,16,21,2016-11-02 16:21:00,Nov,POINT (-44.532 -10.1294)
11,-10.1243,-44.5214,,1.3,1.1,2016-11-03,146,Terra,MODIS,85,6.2,,12.2,0.0,N,312.3,297.0,2016,11,3,1,46,2016-11-03 01:46:00,Nov,POINT (-44.5214 -10.1243)
12,-10.0819,-44.5108,,1.3,1.1,2016-11-03,146,Terra,MODIS,83,6.2,,12.2,0.0,N,311.5,296.5,2016,11,3,1,46,2016-11-03 01:46:00,Nov,POINT (-44.5108 -10.0819)
13,-10.131,-44.5134,,2.1,1.4,2016-11-03,1703,Aqua,MODIS,58,6.2,,30.2,0.0,D,327.3,306.9,2016,11,3,17,3,2016-11-03 17:03:00,Nov,POINT (-44.5134 -10.131)
14,-10.1306,-44.521,,2.1,1.4,2016-11-03,1703,Aqua,MODIS,73,6.2,,49.3,0.0,D,332.1,307.6,2016,11,3,17,3,2016-11-03 17:03:00,Nov,POINT (-44.521 -10.1306)
15,-10.1337,-44.5144,,1.0,1.0,2016-11-04,1318,Terra,MODIS,50,6.2,,10.4,0.0,D,326.6,306.2,2016,11,4,13,18,2016-11-04 13:18:00,Nov,POINT (-44.5144 -10.1337)
16,-10.1323,-44.5236,,1.0,1.0,2016-11-04,1318,Terra,MODIS,70,6.2,,15.6,0.0,D,330.6,306.0,2016,11,4,13,18,2016-11-04 13:18:00,Nov,POINT (-44.5236 -10.1323)
17,-10.1247,-44.51300000000001,,1.0,1.0,2016-11-04,1318,Terra,MODIS,74,6.2,,18.2,0.0,D,332.5,308.4,2016,11,4,13,18,2016-11-04 13:18:00,Nov,POINT (-44.51300000000001 -10.1247)
18,-10.0704,-44.5082,,1.0,1.0,2016-11-04,1318,Terra,MODIS,79,6.2,,22.9,0.0,D,335.8,308.1,2016,11,4,13,18,2016-11-04 13:18:00,Nov,POINT (-44.5082 -10.0704)
19,-10.068999999999999,-44.5175,,1.0,1.0,2016-11-04,1318,Terra,MODIS,81,6.2,,24.6,0.0,D,337.3,307.6,2016,11,4,13,18,2016-11-04 13:18:00,Nov,POINT (-44.5175 -10.069)
20,-10.0795,-44.5096,,1.0,1.0,2016-11-04,1318,Terra,MODIS,74,6.2,,17.7,0.0,D,332.5,308.4,2016,11,4,13,18,2016-11-04 13:18:00,Nov,POINT (-44.5096 -10.0795)
21,-10.1309,-44.5329,,1.0,1.0,2016-11-04,1318,Terra,MODIS,45,6.2,,11.0,0.0,D,326.5,306.0,2016,11,4,13,18,2016-11-04 13:18:00,Nov,POINT (-44.5329 -10.1309)
22,-10.1295,-44.5422,,1.0,1.0,2016-11-04,1318,Terra,MODIS,52,6.2,,11.9,0.0,D,326.7,305.3,2016,11,4,13,18,2016-11-04 13:18:00,Nov,POINT (-44.5422 -10.1295)
