index,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type,daynight,brightness,bright_t31,year,month,day,hour,minute,datetime,month_name,geometry
0,-11.396889999999999,-43.651709999999994,352.7,0.42,0.46,2015-09-11,1652,N,VIIRS,n,1,308.7,787.6,0.0,,,,2015,9,11,16,52,2015-09-11 16:52:00,Sep,POINT (-43.65170999999999 -11.39689)
1,-11.40137,-43.56792,348.3,0.39,0.36,2015-09-07,1627,N,VIIRS,n,1,314.9,176.8,0.0,,,,2015,9,7,16,27,2015-09-07 16:27:00,Sep,POINT (-43.56792 -11.40137)
2,-11.4219,-43.56839,367.0,0.39,0.36,2015-09-07,1627,N,VIIRS,l,1,337.9,35.6,0.0,,,,2015,9,7,16,27,2015-09-07 16:27:00,Sep,POINT (-43.56839 -11.4219)
3,-11.32845,-43.59444000000001,341.6,0.39,0.36,2015-09-07,1627,N,VIIRS,n,1,310.8,5.2,0.0,,,,2015,9,7,16,27,2015-09-07 16:27:00,Sep,POINT (-43.59444000000001 -11.32845)
4,-11.34967,-43.57672,356.7,0.39,0.36,2015-09-07,1627,N,VIIRS,n,1,320.8,34.0,0.0,,,,2015,9,7,16,27,2015-09-07 16:27:00,Sep,POINT (-43.57672 -11.34967)
5,-11.3502,-43.580259999999996,351.3,0.39,0.36,2015-09-07,1627,N,VIIRS,n,1,324.9,34.0,0.0,,,,2015,9,7,16,27,2015-09-07 16:27:00,Sep,POINT (-43.58026 -11.3502)
6,-11.34687,-43.58077,343.8,0.39,0.36,2015-09-07,1627,N,VIIRS,n,1,314.7,27.9,0.0,,,,2015,9,7,16,27,2015-09-07 16:27:00,Sep,POINT (-43.58077 -11.34687)
7,-11.33792,-43.58938,367.0,0.39,0.36,2015-09-07,1627,N,VIIRS,h,1,375.0,226.2,0.0,,,,2015,9,7,16,27,2015-09-07 16:27:00,Sep,POINT (-43.58938 -11.33792)
8,-11.33739,-43.58584000000001,367.0,0.39,0.36,2015-09-07,1627,N,VIIRS,h,1,362.4,226.2,0.0,,,,2015,9,7,16,27,2015-09-07 16:27:00,Sep,POINT (-43.58584 -11.33739)
9,-11.34126,-43.58887,367.0,0.39,0.36,2015-09-07,1627,N,VIIRS,l,1,380.0,226.2,0.0,,,,2015,9,7,16,27,2015-09-07 16:27:00,Sep,POINT (-43.58887 -11.34126)
10,-11.34073,-43.58533,367.0,0.39,0.36,2015-09-07,1627,N,VIIRS,l,1,329.2,226.2,0.0,,,,2015,9,7,16,27,2015-09-07 16:27:00,Sep,POINT (-43.58533 -11.34073)
11,-11.44016,-43.57647,346.8,0.39,0.36,2015-09-07,1627,N,VIIRS,n,1,301.2,119.3,0.0,,,,2015,9,7,16,27,2015-09-07 16:27:00,Sep,POINT (-43.57647 -11.44016)
12,-11.43629,-43.57344000000001,367.0,0.39,0.36,2015-09-07,1627,N,VIIRS,h,1,353.1,156.6,0.0,,,,2015,9,7,16,27,2015-09-07 16:27:00,Sep,POINT (-43.57344000000001 -11.43629)
13,-11.436819999999999,-43.57698,367.0,0.39,0.36,2015-09-07,1627,N,VIIRS,h,1,368.9,119.3,0.0,,,,2015,9,7,16,27,2015-09-07 16:27:00,Sep,POINT (-43.57698 -11.43682)
14,-11.43243,-43.5704,367.0,0.39,0.36,2015-09-07,1627,N,VIIRS,h,1,345.9,68.9,0.0,,,,2015,9,7,16,27,2015-09-07 16:27:00,Sep,POINT (-43.5704 -11.43243)
