frp,latitude,longitude,instrument,is_top_point,date,time
5605.6,-8.0182,-42.58,MODIS,True,2019-09-25,17:04:00
5605.6,-8.0182,-42.58,MODIS,False,2019-09-25,17:04:00
296.1,-7.997999999999998,-42.5533,MODIS,False,2019-09-25,17:04:00
1330.1,-8.0029,-42.5828,MODIS,False,2019-09-25,17:04:00
1777.2,-8.0133,-42.5504,MODIS,False,2019-09-25,17:04:00
862.3,-8.0304,-42.5696,MODIS,False,2019-09-25,17:04:00
153.0,-8.0286,-42.5474,MODIS,False,2019-09-25,17:04:00
396.7,-8.0335,-42.577,MODIS,False,2019-09-25,17:04:00
10.9,-8.027999999999999,-42.5706,MODIS,False,2019-09-26,13:17:00
17.7,-7.9811,-42.5759,MODIS,False,2019-09-26,13:17:00
34.2,-8.0295,-42.585,MODIS,False,2019-09-26,16:09:00
56.3,-8.0318,-42.5752,MODIS,False,2019-09-26,16:09:00
39.0,-8.0274,-42.5689,MODIS,False,2019-09-26,16:09:00
10.0,-8.0031,-42.5932,MODIS,False,2019-09-27,01:34:00
11.4,-8.004,-42.5858,MODIS,False,2019-09-27,04:35:00
269.5,-8.0289,-42.6,MODIS,False,2019-09-28,13:05:00
49.8,-8.0272,-42.611,MODIS,False,2019-09-28,13:05:00
23.8,-8.0322,-42.5784,MODIS,False,2019-09-28,13:05:00
133.3,-8.0305,-42.5892,MODIS,False,2019-09-28,13:05:00
103.6,-8.0175,-42.6093,MODIS,False,2019-09-28,13:05:00
25.1,-8.0191,-42.5984,MODIS,False,2019-09-28,13:05:00
30.6,-7.9979,-42.6062,MODIS,False,2019-09-28,13:05:00
74.3,-7.9963,-42.617,MODIS,False,2019-09-28,13:05:00
22.6,-7.9882,-42.6047,MODIS,False,2019-09-28,13:05:00
76.1,-7.9865,-42.6155,MODIS,False,2019-09-28,13:05:00
85.6,-8.0192,-42.6141,MODIS,False,2019-09-28,15:57:00
207.4,-8.0041,-42.6156,MODIS,False,2019-09-28,15:57:00
70.3,-7.989,-42.6173,MODIS,False,2019-09-28,15:57:00
64.7,-8.0206,-42.6213,MODIS,False,2019-09-28,15:57:00
287.3,-8.0055,-42.6227,MODIS,False,2019-09-28,15:57:00
81.1,-7.9904,-42.6244,MODIS,False,2019-09-28,15:57:00
328.5,-8.0494,-42.6106,MODIS,False,2019-09-28,15:57:00
279.8,-8.0343,-42.6124,MODIS,False,2019-09-28,15:57:00
144.3,-8.0357,-42.6194,MODIS,False,2019-09-28,15:57:00
102.3,-8.0092,-42.6515,MODIS,False,2019-09-28,15:57:00
235.6,-8.0076,-42.6446,MODIS,False,2019-09-28,15:57:00
106.1,-8.0458,-42.5822,MODIS,False,2019-09-28,15:57:00
113.7,-8.0307,-42.5836,MODIS,False,2019-09-28,15:57:00
189.7,-8.0319,-42.5908,MODIS,False,2019-09-28,15:57:00
16.2,-7.9783,-42.6226,MODIS,False,2019-09-29,16:40:00
16.4,-8.0037,-42.6334,MODIS,False,2019-09-29,16:40:00
13.9,-7.9768,-42.6121,MODIS,False,2019-09-29,16:40:00
46.1,-8.006,-42.632,MODIS,False,2019-10-01,16:25:00
69.5,-8.007,-42.64100000000001,MODIS,False,2019-10-01,16:25:00
5830.2,-6.3411,-43.6888,MODIS,True,2017-10-01,15:51:00
4.6,-6.3061,-43.6149,MODIS,False,2017-09-07,01:23:00
15.4,-6.313,-43.6104,MODIS,False,2017-09-09,13:36:00
32.6,-6.3181,-43.6186,MODIS,False,2017-09-09,16:28:00
78.0,-6.3068,-43.6204,MODIS,False,2017-09-10,17:11:00
64.3,-6.3076,-43.6282,MODIS,False,2017-09-11,13:23:00
17.5,-6.3089,-43.6192,MODIS,False,2017-09-11,13:23:00
22.6,-6.3087,-43.6262,MODIS,False,2017-09-11,16:16:00
25.6,-6.2673,-43.6924,MODIS,False,2017-09-12,16:58:00
12.9,-6.2524,-43.6967,MODIS,False,2017-09-14,16:46:00
129.6,-6.2734,-43.7448,MODIS,False,2017-09-26,17:11:00
206.3,-6.279,-43.7143,MODIS,False,2017-09-26,17:11:00
203.0,-6.2844,-43.7475,MODIS,False,2017-09-26,17:11:00
101.3,-6.2841,-43.7089,MODIS,False,2017-09-26,17:11:00
145.4,-6.2897,-43.742,MODIS,False,2017-09-26,17:11:00
13.0,-6.2862,-43.7047,MODIS,False,2017-09-27,13:23:00
16.6,-6.2848,-43.7137,MODIS,False,2017-09-27,13:23:00
8.4,-6.2938,-43.715,MODIS,False,2017-09-27,13:23:00
27.0,-6.2773,-43.7167,MODIS,False,2017-09-27,16:16:00
28.8,-6.2883,-43.7148,MODIS,False,2017-09-27,16:16:00
27.8,-6.2753,-43.7023,MODIS,False,2017-09-27,16:16:00
25.9,-6.2863,-43.7007,MODIS,False,2017-09-27,16:16:00
8.9,-6.2797,-43.6976,MODIS,False,2017-09-28,01:41:00
893.2,-6.3338,-43.658,MODIS,False,2017-09-30,13:54:00
742.6,-6.332000000000002,-43.6633,MODIS,False,2017-09-30,13:54:00
162.9,-6.3357,-43.6342,MODIS,False,2017-09-30,13:54:00
52.5,-6.3378,-43.629,MODIS,False,2017-09-30,13:54:00
35.1,-6.3342,-43.6465,MODIS,False,2017-09-30,16:46:00
486.5,-6.336,-43.6584,MODIS,False,2017-09-30,16:46:00
22.8,-6.3103,-43.6262,MODIS,False,2017-09-30,16:46:00
44.6,-6.3254,-43.6457,MODIS,False,2017-10-01,12:59:00
245.2,-6.3228,-43.6623,MODIS,False,2017-10-01,12:59:00
78.5,-6.3201,-43.6797,MODIS,False,2017-10-01,12:59:00
895.1,-6.3348,-43.664,MODIS,False,2017-10-01,12:59:00
811.6,-6.3322,-43.6809,MODIS,False,2017-10-01,12:59:00
202.0,-6.3421,-43.6543,MODIS,False,2017-10-01,12:59:00
1095.9,-6.3395,-43.6708,MODIS,False,2017-10-01,12:59:00
112.0,-6.3301,-43.6523,MODIS,False,2017-10-01,12:59:00
153.6,-6.3274,-43.6692,MODIS,False,2017-10-01,12:59:00
91.1,-6.3246,-43.6863,MODIS,False,2017-10-01,12:59:00
165.9,-6.3468,-43.6659,MODIS,False,2017-10-01,12:59:00
74.1,-6.3374,-43.6476,MODIS,False,2017-10-01,12:59:00
25.9,-6.3581,-43.7086,MODIS,False,2017-10-01,12:59:00
267.3,-6.3367,-43.6877,MODIS,False,2017-10-01,12:59:00
218.7,-6.3475,-43.7396,MODIS,False,2017-10-01,15:51:00
5830.2,-6.3411,-43.6888,MODIS,False,2017-10-01,15:51:00
763.2,-6.3465,-43.7323,MODIS,False,2017-10-01,15:51:00
5496.6,-6.3418,-43.6961,MODIS,False,2017-10-01,15:51:00
1209.9,-6.3241,-43.6992,MODIS,False,2017-10-01,15:51:00
710.0,-6.3186,-43.6566,MODIS,False,2017-10-01,15:51:00
1279.5,-6.3364,-43.6547,MODIS,False,2017-10-01,15:51:00
289.2,-6.3542,-43.6527,MODIS,False,2017-10-01,15:51:00
1461.0,-6.3234,-43.6921,MODIS,False,2017-10-01,15:51:00
385.0,-6.3182,-43.6498,MODIS,False,2017-10-01,15:51:00
515.1,-6.336,-43.6476,MODIS,False,2017-10-01,15:51:00
1022.1,-6.3589,-43.6868,MODIS,False,2017-10-01,15:51:00
81.5,-6.3538,-43.6457,MODIS,False,2017-10-01,15:51:00
864.4,-6.3597,-43.6942,MODIS,False,2017-10-01,15:51:00
68.2,-6.3513,-43.6905,MODIS,False,2017-10-02,01:17:00
37.1,-6.3414,-43.6919,MODIS,False,2017-10-02,01:17:00
62.4,-6.3528,-43.7016,MODIS,False,2017-10-02,01:17:00
24.4,-6.3186,-43.6728,MODIS,False,2017-10-02,01:17:00
13.6,-6.3368,-43.659,MODIS,False,2017-10-02,01:17:00
18.9,-6.3327,-43.6601,MODIS,False,2017-10-02,04:16:00
24.9,-6.3342,-43.6767,MODIS,False,2017-10-02,04:16:00
23.9,-6.3358,-43.6662,MODIS,False,2017-10-02,04:16:00
11.0,-6.3374,-43.6559,MODIS,False,2017-10-02,04:16:00
28.2,-6.3439,-43.6781,MODIS,False,2017-10-02,04:16:00
5.5,-6.3455,-43.6677,MODIS,False,2017-10-02,04:16:00
17.7,-6.3311,-43.6705,MODIS,False,2017-10-02,04:16:00
15.4,-6.3406,-43.6992,MODIS,False,2017-10-02,04:16:00
24.5,-6.3326,-43.6872,MODIS,False,2017-10-02,04:16:00
58.1,-6.3422,-43.6886,MODIS,False,2017-10-02,04:16:00
54.7,-6.3503,-43.7006,MODIS,False,2017-10-02,04:16:00
56.9,-6.3519,-43.6901,MODIS,False,2017-10-02,04:16:00
55.9,-6.3558,-43.7136,MODIS,False,2017-10-02,13:42:00
226.4,-6.3579,-43.6977,MODIS,False,2017-10-02,13:42:00
409.7,-6.349,-43.7063,MODIS,False,2017-10-02,13:42:00
275.6,-6.3513,-43.6903,MODIS,False,2017-10-02,13:42:00
317.4,-6.3462,-43.6961,MODIS,False,2017-10-02,13:42:00
65.4,-6.3439999999999985,-43.7121,MODIS,False,2017-10-02,13:42:00
59.3,-6.348,-43.7004,MODIS,False,2017-10-02,16:34:00
68.9,-6.3172,-43.684,MODIS,False,2017-10-02,16:34:00
21.0,-6.3159,-43.675,MODIS,False,2017-10-02,16:34:00
23.5,-6.3236,-43.6647,MODIS,False,2017-10-02,16:34:00
67.1,-6.3351,-43.6747,MODIS,False,2017-10-02,16:34:00
37.2,-6.3338,-43.6657,MODIS,False,2017-10-02,16:34:00
43.6,-6.3325,-43.6567,MODIS,False,2017-10-02,16:34:00
54.5,-6.3415,-43.6554,MODIS,False,2017-10-02,16:34:00
25.7,-6.3582,-43.708,MODIS,False,2017-10-02,16:34:00
89.3,-6.3569,-43.699,MODIS,False,2017-10-02,16:34:00
76.1,-6.3185,-43.69300000000001,MODIS,False,2017-10-02,16:34:00
284.0,-6.3197,-43.702,MODIS,False,2017-10-02,16:34:00
527.9,-6.3108,-43.7033,MODIS,False,2017-10-02,16:34:00
