frp,latitude,longitude,instrument,is_top_point
1322.5,-12.76685,-43.31325,VIIRS,True
1322.5,-12.76629,-43.30937,VIIRS,False
1322.5,-12.76282,-43.30988,VIIRS,False
1322.5,-12.76685,-43.31325,VIIRS,False
558.1,-12.76741,-43.31712,VIIRS,False
1385.0,-9.236930000000001,-65.36270999999999,VIIRS,True
3.9,-9.229280000000001,-65.41311999999999,VIIRS,False
3.9,-9.2357,-65.41436999999999,VIIRS,False
4.5,-9.23771,-65.40399000000001,VIIRS,False
3.9,-9.23669,-65.40926,VIIRS,False
3.9,-9.23028,-65.40801,VIIRS,False
4.5,-9.23129,-65.40279,VIIRS,False
3.8,-9.23907,-65.41278,VIIRS,False
2.8,-9.23273,-65.40559,VIIRS,False
3.8,-9.23218,-65.41183000000001,VIIRS,False
4.1,-9.23298,-65.40522,VIIRS,False
4.1,-9.23986,-65.40624,VIIRS,False
2.8,-9.23189,-65.41219,VIIRS,False
57.6,-9.23333,-65.40488,VIIRS,False
9.6,-9.23765,-65.40427,VIIRS,False
2.4,-9.23277,-65.40077,VIIRS,False
57.6,-9.233880000000001,-65.40897,VIIRS,False
9.6,-9.2382,-65.40838000000001,VIIRS,False
1.2,-9.23522,-65.40765,VIIRS,False
1.2,-9.235610000000001,-65.40462,VIIRS,False
2.1,-9.234810000000001,-65.41068,VIIRS,False
0.6,-9.23601,-65.40162,VIIRS,False
5.9,-9.23984,-65.31488,VIIRS,False
9.3,-9.24317,-65.31437,VIIRS,False
1.2,-9.23068,-65.41206,VIIRS,False
3.5,-9.23819,-65.4038,VIIRS,False
6.9,-9.231630000000001,-65.40892,VIIRS,False
86.1,-9.23878,-65.40788,VIIRS,False
11.8,-9.24944,-65.4138,VIIRS,False
1.5,-9.24077,-65.40096,VIIRS,False
2.1,-9.23812,-65.41428,VIIRS,False
20.1,-9.2465,-65.40889,VIIRS,False
2.1,-9.23943,-65.4077,VIIRS,False
4.6,-9.2508,-65.40711,VIIRS,False
20.1,-9.24519,-65.41549,VIIRS,False
10.6,-9.247819999999999,-65.40221,VIIRS,False
6.3,-9.24916,-65.41408,VIIRS,False
3.7,-9.24484,-65.39764,VIIRS,False
6.3,-9.249789999999999,-65.40905,VIIRS,False
3.7,-9.25043,-65.4039,VIIRS,False
3.7,-9.24422,-65.40265,VIIRS,False
6.3,-9.24359,-65.40768,VIIRS,False
6.3,-9.24295,-65.41279,VIIRS,False
49.3,-9.24043,-65.39938000000001,VIIRS,False
49.3,-9.24113,-65.40465999999999,VIIRS,False
49.3,-9.235610000000001,-65.40004,VIIRS,False
49.1,-9.24249,-65.41504,VIIRS,False
49.1,-9.241810000000001,-65.40988,VIIRS,False
184.0,-9.24595,-65.40397,VIIRS,False
158.4,-9.24663,-65.40914000000001,VIIRS,False
184.0,-9.24526,-65.39874,VIIRS,False
2.9,-9.2427,-65.41252,VIIRS,False
3.9,-9.25177,-65.4142,VIIRS,False
4.4,-9.2492,-65.39915,VIIRS,False
4.4,-9.244639999999999,-65.39843,VIIRS,False
5.5,-9.24854,-65.4039,VIIRS,False
5.5,-9.24335,-65.40781,VIIRS,False
2.0,-9.23944,-65.40244,VIIRS,False
6.0,-9.252410000000001,-65.40955,VIIRS,False
1.2,-9.23748,-65.41662,VIIRS,False
2.9,-9.24724,-65.41331,VIIRS,False
5.5,-9.244,-65.40311,VIIRS,False
2.9,-9.24204,-65.41733,VIIRS,False
6.0,-9.25307,-65.40477,VIIRS,False
5.5,-9.24789,-65.40861,VIIRS,False
36.4,-9.256219999999999,-65.40156,VIIRS,False
40.3,-9.25558,-65.39634000000001,VIIRS,False
10.8,-9.25384,-65.43697,VIIRS,False
40.3,-9.249,-65.39718,VIIRS,False
7.7,-9.26216,-65.39549,VIIRS,False
