Top point: FirePoint(frp=5605.6, coords=8 1' 5.52'' S 42 34' 48'' W, instrument=MODIS)
Points within distance=10 km, time=30 days: 43
FirePoint(frp=5605.6, coords=8 1' 5.52'' S 42 34' 48'' W, instrument=MODIS)
FirePoint(frp=296.1, coords=7 59' 52.8'' S 42 33' 11.88'' W, instrument=MODIS)
FirePoint(frp=1330.1, coords=8 0' 10.44'' S 42 34' 58.08'' W, instrument=MODIS)
FirePoint(frp=1777.2, coords=8 0' 47.88'' S 42 33' 1.44'' W, instrument=MODIS)
FirePoint(frp=862.3, coords=8 1' 49.44'' S 42 34' 10.56'' W, instrument=MODIS)
FirePoint(frp=153.0, coords=8 1' 42.96'' S 42 32' 50.64'' W, instrument=MODIS)
FirePoint(frp=396.7, coords=8 2' 0.6'' S 42 34' 37.2'' W, instrument=MODIS)
FirePoint(frp=10.9, coords=8 1' 40.8'' S 42 34' 14.16'' W, instrument=MODIS)
FirePoint(frp=17.7, coords=7 58' 51.96'' S 42 34' 33.24'' W, instrument=MODIS)
FirePoint(frp=34.2, coords=8 1' 46.2'' S 42 35' 6'' W, instrument=MODIS)
FirePoint(frp=56.3, coords=8 1' 54.48'' S 42 34' 30.72'' W, instrument=MODIS)
FirePoint(frp=39.0, coords=8 1' 38.64'' S 42 34' 8.04'' W, instrument=MODIS)
FirePoint(frp=10.0, coords=8 0' 11.16'' S 42 35' 35.52'' W, instrument=MODIS)
FirePoint(frp=11.4, coords=8 0' 14.4'' S 42 35' 8.88'' W, instrument=MODIS)
FirePoint(frp=269.5, coords=8 1' 44.04'' S 42 36' 5.11591e-12'' W, instrument=MODIS)
FirePoint(frp=49.8, coords=8 1' 37.92'' S 42 36' 39.6'' W, instrument=MODIS)
FirePoint(frp=23.8, coords=8 1' 55.92'' S 42 34' 42.24'' W, instrument=MODIS)
FirePoint(frp=133.3, coords=8 1' 49.8'' S 42 35' 21.12'' W, instrument=MODIS)
FirePoint(frp=103.6, coords=8 1' 3'' S 42 36' 33.48'' W, instrument=MODIS)
FirePoint(frp=25.1, coords=8 1' 8.76'' S 42 35' 54.24'' W, instrument=MODIS)
FirePoint(frp=30.6, coords=7 59' 52.44'' S 42 36' 22.32'' W, instrument=MODIS)
FirePoint(frp=74.3, coords=7 59' 46.68'' S 42 37' 1.2'' W, instrument=MODIS)
FirePoint(frp=22.6, coords=7 59' 17.52'' S 42 36' 16.92'' W, instrument=MODIS)
FirePoint(frp=76.1, coords=7 59' 11.4'' S 42 36' 55.8'' W, instrument=MODIS)
FirePoint(frp=85.6, coords=8 1' 9.12'' S 42 36' 50.76'' W, instrument=MODIS)
FirePoint(frp=207.4, coords=8 0' 14.76'' S 42 36' 56.16'' W, instrument=MODIS)
