Top point: FirePoint(frp=1322.5, coords=12 46' 0.66'' S 43 18' 47.7'' W, instrument=VIIRS)
4 points within distance=10 km, time= +-30 days:
FirePoint(frp=1322.5, coords=12 45' 58.644'' S 43 18' 33.732'' W, instrument=VIIRS)
FirePoint(frp=1322.5, coords=12 45' 46.152'' S 43 18' 35.568'' W, instrument=VIIRS)
FirePoint(frp=1322.5, coords=12 46' 0.66'' S 43 18' 47.7'' W, instrument=VIIRS)
FirePoint(frp=558.1, coords=12 46' 2.676'' S 43 19' 1.632'' W, instrument=VIIRS)

Top point: FirePoint(frp=1385.0, coords=9 14' 12.948'' S 65 21' 45.756'' W, instrument=VIIRS)
787 points within distance=10 km, time= +-30 days:
FirePoint(frp=3.9, coords=9 13' 45.408'' S 65 24' 47.232'' W, instrument=VIIRS)
FirePoint(frp=3.9, coords=9 14' 8.52'' S 65 24' 51.732'' W, instrument=VIIRS)
FirePoint(frp=4.5, coords=9 14' 15.756'' S 65 24' 14.364'' W, instrument=VIIRS)
FirePoint(frp=3.9, coords=9 14' 12.084'' S 65 24' 33.336'' W, instrument=VIIRS)
FirePoint(frp=3.9, coords=9 13' 49.008'' S 65 24' 28.836'' W, instrument=VIIRS)
FirePoint(frp=4.5, coords=9 13' 52.644'' S 65 24' 10.044'' W, instrument=VIIRS)
FirePoint(frp=3.8, coords=9 14' 20.652'' S 65 24' 46.008'' W, instrument=VIIRS)
FirePoint(frp=2.8, coords=9 13' 57.828'' S 65 24' 20.124'' W, instrument=VIIRS)
FirePoint(frp=3.8, coords=9 13' 55.848'' S 65 24' 42.588'' W, instrument=VIIRS)
FirePoint(frp=4.1, coords=9 13' 58.728'' S 65 24' 18.792'' W, instrument=VIIRS)
FirePoint(frp=4.1, coords=9 14' 23.496'' S 65 24' 22.464'' W, instrument=VIIRS)
FirePoint(frp=2.8, coords=9 13' 54.804'' S 65 24' 43.884'' W, instrument=VIIRS)
FirePoint(frp=57.6, coords=9 13' 59.988'' S 65 24' 17.568'' W, instrument=VIIRS)
FirePoint(frp=9.6, coords=9 14' 15.54'' S 65 24' 15.372'' W, instrument=VIIRS)
FirePoint(frp=2.4, coords=9 13' 57.972'' S 65 24' 2.772'' W, instrument=VIIRS)
FirePoint(frp=57.6, coords=9 14' 1.968'' S 65 24' 32.292'' W, instrument=VIIRS)
FirePoint(frp=9.6, coords=9 14' 17.52'' S 65 24' 30.168'' W, instrument=VIIRS)
FirePoint(frp=1.2, coords=9 14' 6.792'' S 65 24' 27.54'' W, instrument=VIIRS)
FirePoint(frp=1.2, coords=9 14' 8.196'' S 65 24' 16.632'' W, instrument=VIIRS)
FirePoint(frp=2.1, coords=9 14' 5.316'' S 65 24' 38.448'' W, instrument=VIIRS)
FirePoint(frp=0.6, coords=9 14' 9.636'' S 65 24' 5.832'' W, instrument=VIIRS)
FirePoint(frp=5.9, coords=9 14' 23.424'' S 65 18' 53.568'' W, instrument=VIIRS)
FirePoint(frp=9.3, coords=9 14' 35.412'' S 65 18' 51.732'' W, instrument=VIIRS)
FirePoint(frp=1.2, coords=9 13' 50.448'' S 65 24' 43.416'' W, instrument=VIIRS)
FirePoint(frp=3.5, coords=9 14' 17.484'' S 65 24' 13.68'' W, instrument=VIIRS)
FirePoint(frp=6.9, coords=9 13' 53.868'' S 65 24' 32.112'' W, instrument=VIIRS)
FirePoint(frp=86.1, coords=9 14' 19.608'' S 65 24' 28.368'' W, instrument=VIIRS)
FirePoint(frp=11.8, coords=9 14' 57.984'' S 65 24' 49.68'' W, instrument=VIIRS)
FirePoint(frp=1.5, coords=9 14' 26.772'' S 65 24' 3.456'' W, instrument=VIIRS)
FirePoint(frp=2.1, coords=9 14' 17.232'' S 65 24' 51.408'' W, instrument=VIIRS)
FirePoint(frp=20.1, coords=9 14' 47.4'' S 65 24' 32.004'' W, instrument=VIIRS)
FirePoint(frp=2.1, coords=9 14' 21.948'' S 65 24' 27.72'' W, instrument=VIIRS)
FirePoint(frp=4.6, coords=9 15' 2.88'' S 65 24' 25.596'' W, instrument=VIIRS)
FirePoint(frp=20.1, coords=9 14' 42.684'' S 65 24' 55.764'' W, instrument=VIIRS)
FirePoint(frp=10.6, coords=9 14' 52.152'' S 65 24' 7.956'' W, instrument=VIIRS)
FirePoint(frp=6.3, coords=9 14' 56.976'' S 65 24' 50.688'' W, instrument=VIIRS)
FirePoint(frp=3.7, coords=9 14' 41.424'' S 65 23' 51.504'' W, instrument=VIIRS)
FirePoint(frp=6.3, coords=9 14' 59.244'' S 65 24' 32.58'' W, instrument=VIIRS)
FirePoint(frp=3.7, coords=9 15' 1.548'' S 65 24' 14.04'' W, instrument=VIIRS)
FirePoint(frp=3.7, coords=9 14' 39.192'' S 65 24' 9.54'' W, instrument=VIIRS)
FirePoint(frp=6.3, coords=9 14' 36.924'' S 65 24' 27.648'' W, instrument=VIIRS)
FirePoint(frp=6.3, coords=9 14' 34.62'' S 65 24' 46.044'' W, instrument=VIIRS)
FirePoint(frp=49.3, coords=9 14' 25.548'' S 65 23' 57.768'' W, instrument=VIIRS)
FirePoint(frp=49.3, coords=9 14' 28.068'' S 65 24' 16.776'' W, instrument=VIIRS)
FirePoint(frp=49.3, coords=9 14' 8.196'' S 65 24' 0.144'' W, instrument=VIIRS)
FirePoint(frp=49.1, coords=9 14' 32.964'' S 65 24' 54.144'' W, instrument=VIIRS)
FirePoint(frp=49.1, coords=9 14' 30.516'' S 65 24' 35.568'' W, instrument=VIIRS)
FirePoint(frp=184.0, coords=9 14' 45.42'' S 65 24' 14.292'' W, instrument=VIIRS)
FirePoint(frp=158.4, coords=9 14' 47.868'' S 65 24' 32.904'' W, instrument=VIIRS)
FirePoint(frp=184.0, coords=9 14' 42.936'' S 65 23' 55.464'' W, instrument=VIIRS)
FirePoint(frp=2.9, coords=9 14' 33.72'' S 65 24' 45.072'' W, instrument=VIIRS)
FirePoint(frp=3.9, coords=9 15' 6.372'' S 65 24' 51.12'' W, instrument=VIIRS)
FirePoint(frp=4.4, coords=9 14' 57.12'' S 65 23' 56.94'' W, instrument=VIIRS)
FirePoint(frp=4.4, coords=9 14' 40.704'' S 65 23' 54.348'' W, instrument=VIIRS)
FirePoint(frp=5.5, coords=9 14' 54.744'' S 65 24' 14.04'' W, instrument=VIIRS)
FirePoint(frp=5.5, coords=9 14' 36.06'' S 65 24' 28.116'' W, instrument=VIIRS)
FirePoint(frp=2.0, coords=9 14' 21.984'' S 65 24' 8.784'' W, instrument=VIIRS)
FirePoint(frp=6.0, coords=9 15' 8.676'' S 65 24' 34.38'' W, instrument=VIIRS)
FirePoint(frp=1.2, coords=9 14' 14.928'' S 65 24' 59.832'' W, instrument=VIIRS)
FirePoint(frp=2.9, coords=9 14' 50.064'' S 65 24' 47.916'' W, instrument=VIIRS)
FirePoint(frp=5.5, coords=9 14' 38.4'' S 65 24' 11.196'' W, instrument=VIIRS)
FirePoint(frp=2.9, coords=9 14' 31.344'' S 65 25' 2.388'' W, instrument=VIIRS)
FirePoint(frp=6.0, coords=9 15' 11.052'' S 65 24' 17.172'' W, instrument=VIIRS)
FirePoint(frp=5.5, coords=9 14' 52.404'' S 65 24' 30.996'' W, instrument=VIIRS)
FirePoint(frp=36.4, coords=9 15' 22.392'' S 65 24' 5.616'' W, instrument=VIIRS)
FirePoint(frp=40.3, coords=9 15' 20.088'' S 65 23' 46.824'' W, instrument=VIIRS)
FirePoint(frp=10.8, coords=9 15' 13.824'' S 65 26' 13.092'' W, instrument=VIIRS)
FirePoint(frp=40.3, coords=9 14' 56.4'' S 65 23' 49.848'' W, instrument=VIIRS)
FirePoint(frp=7.7, coords=9 15' 43.776'' S 65 23' 43.764'' W, instrument=VIIRS)
FirePoint(frp=15.3, coords=9 15' 35.136'' S 65 25' 50.052'' W, instrument=VIIRS)
FirePoint(frp=6.9, coords=9 14' 47.472'' S 65 25' 54.66'' W, instrument=VIIRS)
FirePoint(frp=27.0, coords=9 14' 50.424'' S 65 23' 55.572'' W, instrument=VIIRS)
FirePoint(frp=175.9, coords=9 15' 34.704'' S 65 23' 25.224'' W, instrument=VIIRS)
FirePoint(frp=27.0, coords=9 15' 14.724'' S 65 23' 51.468'' W, instrument=VIIRS)
FirePoint(frp=16.6, coords=9 14' 54.888'' S 65 24' 18.432'' W, instrument=VIIRS)
FirePoint(frp=27.0, coords=9 15' 10.368'' S 65 23' 29.292'' W, instrument=VIIRS)
FirePoint(frp=4.1, coords=9 15' 31.14'' S 65 23' 40.236'' W, instrument=VIIRS)
FirePoint(frp=2.5, coords=9 15' 45.648'' S 65 23' 28.5'' W, instrument=VIIRS)
FirePoint(frp=4.1, coords=9 15' 33.192'' S 65 23' 26.556'' W, instrument=VIIRS)
FirePoint(frp=0.8, coords=9 14' 41.496'' S 65 24' 56.736'' W, instrument=VIIRS)
FirePoint(frp=0.9, coords=9 14' 58.02'' S 65 24' 31.356'' W, instrument=VIIRS)
FirePoint(frp=1.7, coords=9 15' 24.948'' S 65 24' 21.564'' W, instrument=VIIRS)
FirePoint(frp=1.2, coords=9 14' 35.268'' S 65 24' 13.572'' W, instrument=VIIRS)
FirePoint(frp=4.1, coords=9 15' 18.72'' S 65 23' 38.292'' W, instrument=VIIRS)
FirePoint(frp=1.4, coords=9 15' 2.16'' S 65 24' 3.852'' W, instrument=VIIRS)
FirePoint(frp=1.0, coords=9 14' 31.164'' S 65 24' 40.968'' W, instrument=VIIRS)
FirePoint(frp=0.9, coords=9 15' 0.108'' S 65 24' 17.64'' W, instrument=VIIRS)
FirePoint(frp=1.4, coords=9 15' 4.212'' S 65 23' 50.064'' W, instrument=VIIRS)
FirePoint(frp=1.4, coords=9 14' 49.74'' S 65 24' 1.836'' W, instrument=VIIRS)
FirePoint(frp=2.0, coords=9 15' 16.668'' S 65 23' 52.044'' W, instrument=VIIRS)
FirePoint(frp=2.5, coords=9 15' 43.596'' S 65 23' 42.18'' W, instrument=VIIRS)
FirePoint(frp=0.8, coords=9 14' 55.968'' S 65 24' 45.072'' W, instrument=VIIRS)
FirePoint(frp=2.0, coords=9 15' 14.58'' S 65 24' 5.904'' W, instrument=VIIRS)
FirePoint(frp=0.9, coords=9 14' 47.688'' S 65 24' 15.516'' W, instrument=VIIRS)
FirePoint(frp=0.8, coords=9 14' 43.584'' S 65 24' 42.948'' W, instrument=VIIRS)
FirePoint(frp=1.0, coords=9 14' 29.076'' S 65 24' 54.756'' W, instrument=VIIRS)
FirePoint(frp=1.2, coords=9 14' 22.812'' S 65 24' 11.628'' W, instrument=VIIRS)
FirePoint(frp=0.9, coords=9 14' 45.636'' S 65 24' 29.268'' W, instrument=VIIRS)
FirePoint(frp=0.9, coords=9 15' 6.3'' S 65 23' 36.312'' W, instrument=VIIRS)
FirePoint(frp=1.7, coords=9 15' 12.492'' S 65 24' 19.692'' W, instrument=VIIRS)
FirePoint(frp=2.0, coords=9 15' 29.088'' S 65 23' 53.988'' W, instrument=VIIRS)
FirePoint(frp=2.3, coords=9 15' 34.416'' S 65 22' 59.736'' W, instrument=VIIRS)
FirePoint(frp=3.3, coords=9 15' 44.748'' S 65 23' 16.368'' W, instrument=VIIRS)
FirePoint(frp=2.3, coords=9 15' 32.004'' S 65 23' 14.208'' W, instrument=VIIRS)
FirePoint(frp=3.3, coords=9 15' 47.124'' S 65 23' 1.932'' W, instrument=VIIRS)
FirePoint(frp=6.1, coords=9 15' 28.692'' S 65 23' 6.252'' W, instrument=VIIRS)
FirePoint(frp=6.1, coords=9 15' 15.444'' S 65 23' 8.376'' W, instrument=VIIRS)
FirePoint(frp=6.1, coords=9 15' 12.888'' S 65 22' 52.86'' W, instrument=VIIRS)
FirePoint(frp=2.1, coords=9 15' 39.096'' S 65 22' 41.628'' W, instrument=VIIRS)
FirePoint(frp=2.3, coords=9 15' 22.14'' S 65 22' 38.388'' W, instrument=VIIRS)
FirePoint(frp=19.1, coords=9 15' 30.816'' S 65 22' 21.036'' W, instrument=VIIRS)
FirePoint(frp=8.3, coords=9 15' 12.312'' S 65 23' 3.732'' W, instrument=VIIRS)
FirePoint(frp=13.5, coords=9 11' 49.236'' S 65 24' 39.96'' W, instrument=VIIRS)
FirePoint(frp=11.1, coords=9 11' 38.544'' S 65 24' 44.028'' W, instrument=VIIRS)
