latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type,daynight,year,month,month_name
-17.37181,-42.15195,367.0,0.49,0.4,2012-01-24,1609,N,VIIRS,h,1,335.9,378.3,0.0,,2012,1,Jan
-19.598779999999998,-57.38977,321.2,0.51,0.41,2012-02-04,1743,N,VIIRS,l,1,324.2,623.1,0.0,,2012,2,Feb
-11.91376,-52.94262,208.0,0.42,0.38,2012-02-12,1655,N,VIIRS,l,1,274.1,366.8,0.0,,2012,2,Feb
-14.045,-46.09287,367.0,0.48,0.4,2012-03-06,1622,N,VIIRS,h,1,349.5,689.1,0.0,,2012,3,Mar
-14.0413,-46.0934,367.0,0.48,0.4,2012-03-06,1622,N,VIIRS,l,1,328.3,689.1,0.0,,2012,3,Mar
-14.04375,-46.09516,367.0,0.48,0.4,2012-03-06,1622,N,VIIRS,h,1,352.5,830.1,0.0,,2012,3,Mar
-20.24086,-58.02779,349.8,0.57,0.43,2012-03-12,1749,N,VIIRS,n,1,309.3,282.3,0.0,,2012,3,Mar
-8.778139999999999,-37.88815,367.0,0.52,0.42,2012-03-17,1617,N,VIIRS,h,1,336.1,345.5,0.0,,2012,3,Mar
-22.8217,-52.49572,367.0,0.64,0.72,2012-05-04,1614,N,VIIRS,h,1,299.0,333.8,0.0,,2012,5,May
-11.22371,-45.916340000000005,367.0,0.41,0.37,2012-05-08,1642,N,VIIRS,h,1,349.7,527.2,0.0,,2012,5,May
-11.224310000000001,-45.92014,367.0,0.41,0.37,2012-05-08,1642,N,VIIRS,h,1,348.2,527.2,0.0,,2012,5,May
-11.22492,-45.92393,367.0,0.41,0.37,2012-05-08,1642,N,VIIRS,h,1,347.0,742.7,0.0,,2012,5,May
-11.22552,-45.92773,367.0,0.41,0.37,2012-05-08,1642,N,VIIRS,l,1,380.0,742.7,0.0,,2012,5,May
-11.22027,-45.9169,367.0,0.41,0.37,2012-05-08,1642,N,VIIRS,l,1,380.0,527.2,0.0,,2012,5,May
-11.22087,-45.92069,367.0,0.41,0.37,2012-05-08,1642,N,VIIRS,l,1,380.0,527.2,0.0,,2012,5,May
