latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,year,month,month_name
3.2684,-61.4267,500.0,1.4,1.2,2001-03-16,1503,Terra,MODIS,94,6.2,321.8,2729.2,D,0.0,2001,3,Mar
-12.2976,-55.433,464.6,1.5,1.2,2001-06-11,244,Terra,MODIS,100,6.2,315.7,1648.8,N,0.0,2001,6,Jun
-6.4006,-51.8482,500.0,1.0,1.0,2001-08-01,1402,Terra,MODIS,100,6.2,347.2,1603.0,D,0.0,2001,8,Aug
-21.6719,-57.7774,463.0,1.7,1.3,2001-08-03,1354,Terra,MODIS,100,6.2,333.0,1896.5,D,0.0,2001,8,Aug
-20.1472,-52.7657,448.1,2.2,1.4,2001-08-07,1329,Terra,MODIS,100,6.2,318.2,2139.9,D,0.0,2001,8,Aug
-12.859000000000002,-55.4184,389.9,4.5,2.0,2001-08-09,1452,Terra,MODIS,100,6.2,299.6,1662.4,D,2.0,2001,8,Aug
-12.864,-55.3823,436.5,4.5,2.0,2001-08-09,1452,Terra,MODIS,100,6.2,300.4,4818.8,D,0.0,2001,8,Aug
-12.8635,-55.3771,429.4,4.5,2.0,2001-08-09,1452,Terra,MODIS,100,6.2,299.3,4191.8,D,0.0,2001,8,Aug
-17.2899,-56.4336,478.7,1.3,1.1,2001-08-10,1359,Terra,MODIS,100,6.2,334.1,1692.9,D,0.0,2001,8,Aug
-14.5826,-52.2481,445.4,2.0,1.4,2001-08-14,1333,Terra,MODIS,100,6.2,312.2,1761.6,D,0.0,2001,8,Aug
-12.2436,-55.2103,403.0,3.6,1.8,2001-08-15,147,Terra,MODIS,100,6.2,297.2,1767.0,N,0.0,2001,8,Aug
-15.4745,-53.9746,385.0,4.8,2.0,2001-08-18,1447,Terra,MODIS,100,6.2,305.1,1583.9,D,0.0,2001,8,Aug
-11.572000000000001,-44.6898,445.9,2.3,1.5,2001-08-27,1301,Terra,MODIS,100,6.2,321.3,2242.2,D,0.0,2001,8,Aug
-11.573,-44.7049,442.8,2.3,1.5,2001-08-27,1301,Terra,MODIS,100,6.2,312.2,2129.4,D,0.0,2001,8,Aug
-17.0838,-53.8806,396.6,4.0,1.9,2001-09-01,1321,Terra,MODIS,100,6.2,305.2,1683.1,D,0.0,2001,9,Sep
-17.0881,-53.8871,401.5,4.0,1.9,2001-09-01,1321,Terra,MODIS,100,6.2,305.8,1904.6,D,0.0,2001,9,Sep
-11.954,-62.8138,475.1,1.5,1.2,2001-09-01,1458,Terra,MODIS,75,6.2,302.0,2044.8,D,0.0,2001,9,Sep
-12.8101,-58.0209,392.8,4.7,2.0,2001-09-07,152,Terra,MODIS,100,6.2,297.4,1986.5,N,0.0,2001,9,Sep
-12.8115,-58.0278,399.9,4.7,2.0,2001-09-07,152,Terra,MODIS,100,6.2,298.4,2355.1,N,0.0,2001,9,Sep
-13.2394,-51.3142,447.6,2.3,1.5,2001-09-07,1421,Terra,MODIS,100,6.2,317.1,2307.5,D,0.0,2001,9,Sep
-13.2349,-51.3203,439.1,2.3,1.5,2001-09-07,1421,Terra,MODIS,100,6.2,318.2,1968.5,D,0.0,2001,9,Sep
-11.3738,-44.6658,500.0,1.0,1.0,2001-09-08,1325,Terra,MODIS,100,6.2,333.2,1629.3,D,0.0,2001,9,Sep
-14.7215,-47.8961,467.8,1.5,1.2,2001-09-11,1356,Terra,MODIS,87,6.2,316.8,1782.1,D,0.0,2001,9,Sep
-11.3057,-44.7753,500.0,1.0,1.0,2001-10-01,1330,Terra,MODIS,100,6.2,349.7,1612.3,D,0.0,2001,10,Oct
-13.4224,-53.5954,426.9,2.7,1.6,2001-10-01,1331,Terra,MODIS,100,6.2,301.1,1916.1,D,0.0,2001,10,Oct
-13.4177,-53.6208,427.7,2.7,1.6,2001-10-01,1331,Terra,MODIS,75,6.2,294.2,1958.6,D,0.0,2001,10,Oct
-13.4147,-53.613,464.4,2.7,1.6,2001-10-01,1331,Terra,MODIS,87,6.2,302.6,3908.4,D,0.0,2001,10,Oct
-11.4247,-44.1554,452.2,3.4,1.7,2001-10-04,1400,Terra,MODIS,100,6.2,312.1,4373.9,D,0.0,2001,10,Oct
-11.4151,-44.1469,420.4,3.4,1.7,2001-10-04,1400,Terra,MODIS,100,6.2,312.7,2303.2,D,0.0,2001,10,Oct
-14.1458,-43.5447,453.3,4.2,1.9,2001-10-04,1401,Terra,MODIS,100,6.2,319.2,5875.8,D,0.0,2001,10,Oct
-14.1428,-43.5374,462.7,4.2,1.9,2001-10-04,1401,Terra,MODIS,100,6.2,321.7,6955.9,D,0.0,2001,10,Oct
-14.1496,-43.5059,412.2,4.2,1.9,2001-10-04,1401,Terra,MODIS,100,6.2,308.6,2566.7,D,0.0,2001,10,Oct
-10.7828,-58.9938,468.2,1.6,1.3,2001-10-05,1444,Terra,MODIS,94,6.2,305.4,2016.2,D,0.0,2001,10,Oct
-13.3396,-56.9921,433.7,2.3,1.5,2001-10-07,204,Terra,MODIS,100,6.2,283.0,1762.7,N,0.0,2001,10,Oct
-13.3434,-56.9982,435.7,2.3,1.5,2001-10-07,204,Terra,MODIS,100,6.2,281.6,1836.2,N,0.0,2001,10,Oct
-3.6564,-42.7067,413.4,3.5,1.8,2001-10-20,1358,Terra,MODIS,87,6.2,303.1,2024.5,D,0.0,2001,10,Oct
-13.2384,-53.4895,473.0,1.6,1.2,2001-10-25,1419,Terra,MODIS,100,6.2,318.1,2089.7,D,0.0,2001,10,Oct
-2.8783,-54.565,400.6,3.6,1.8,2001-10-28,1447,Terra,MODIS,75,6.2,283.9,1621.6,D,0.0,2001,10,Oct
-3.4089,-48.5084,445.1,2.9,1.6,2001-11-04,1315,Terra,MODIS,75,6.2,295.8,3043.9,D,0.0,2001,11,Nov
-19.186,-45.3283,444.8,2.5,1.5,2001-11-08,1254,Terra,MODIS,100,6.2,302.9,2386.8,D,0.0,2001,11,Nov
-3.6414,-47.9482,500.0,2.0,1.4,2001-11-11,1321,Terra,MODIS,100,6.2,334.8,4307.0,D,0.0,2001,11,Nov
-3.6361,-47.9588,500.0,2.0,1.4,2001-11-11,1321,Terra,MODIS,100,6.2,337.9,4327.8,D,0.0,2001,11,Nov
-3.6484,-47.9607,500.0,2.0,1.4,2001-11-11,1321,Terra,MODIS,100,6.2,308.5,4324.2,D,0.0,2001,11,Nov
